"","date","State","lat","long","death_rate","c_PercentChange","d_PercentChange","measure","value"
"243",2020-03-11,"Oklahoma",35.5653,-96.9289,0,0,NA,"Recovered",0
"244",2020-03-11,"Oregon",44.572,-122.0709,0,26.667,NA,"Recovered",0
"245",2020-03-11,"Pennsylvania",40.5908,-77.2098,0,33.333,NA,"Recovered",0
"246",2020-03-11,"Rhode Island",41.6809,-71.5118,0,66.667,NA,"Recovered",0
"247",2020-03-11,"South Carolina",33.8569,-80.945,0,42.857,NA,"Recovered",0
"248",2020-03-11,"South Dakota",44.2998,-99.4388,0.125,Inf,Inf,"Recovered",0
"249",2020-03-11,"Tennessee",35.7478,-86.6923,0,28.571,NA,"Recovered",0
"250",2020-03-11,"Texas",31.0545,-97.5635,0,61.538,NA,"Recovered",0
"251",2020-03-11,"Utah",40.15,-111.8624,0,50,NA,"Recovered",0
"252",2020-03-11,"Vermont",44.0459,-72.7107,0,0,NA,"Recovered",0
"253",2020-03-11,"Virginia",37.7693,-78.17,0,28.571,NA,"Recovered",0
"254",2020-03-11,"West Virginia",38.4912,-80.9545,NA,NA,NA,"Recovered",0
"255",2020-03-11,"Wyoming",42.756,-107.3025,NA,NA,NA,"Recovered",0
"256",2020-03-11,"Alaska",61.3707,-152.4044,NA,NA,NA,"Deaths",0
"257",2020-03-11,"Arizona",33.7298,-111.4312,0,50,NA,"Deaths",0
"258",2020-03-11,"Arkansas",34.9697,-92.3731,0,Inf,NA,"Deaths",0
"259",2020-03-11,"Colorado",39.0598,-105.3111,0,126.667,NA,"Deaths",0
"260",2020-03-11,"Connecticut",41.5978,-72.7554,0,50,NA,"Deaths",0
"261",2020-03-11,"Delaware",39.3185,-75.5071,0,Inf,NA,"Deaths",0
"262",2020-03-11,"District of Columbia",38.8974,-77.0268,0,100,NA,"Deaths",0
"263",2020-03-11,"Georgia",33.0406,-83.6431,0,35.294,NA,"Deaths",0
"264",2020-03-11,"Hawaii",21.0943,-157.4983,0,0,NA,"Deaths",0
"265",2020-03-11,"Idaho",44.2405,-114.4788,NA,NA,NA,"Deaths",0
"266",2020-03-11,"Illinois",40.3495,-88.9861,0,108.333,NA,"Deaths",0
"267",2020-03-11,"Indiana",39.8494,-86.2583,0,83.333,NA,"Deaths",0
"268",2020-03-11,"Iowa",42.0115,-93.2105,0,62.5,NA,"Deaths",0
"269",2020-03-11,"Kansas",38.5266,-96.7265,0,0,NA,"Deaths",0
"270",2020-03-11,"Kentucky",37.6681,-84.6701,0,33.333,NA,"Deaths",0
"271",2020-03-11,"Louisiana",31.1695,-91.8678,0,500,NA,"Deaths",0
"272",2020-03-11,"Maine",44.6939,-69.3819,NA,NA,NA,"Deaths",0
"273",2020-03-11,"Maryland",39.0639,-76.8021,0,12.5,NA,"Deaths",0
"274",2020-03-11,"Massachusetts",42.2302,-71.5301,0,3.261,NA,"Deaths",0
"275",2020-03-11,"Michigan",43.3266,-84.5361,0,Inf,NA,"Deaths",0
"276",2020-03-11,"Minnesota",45.6945,-93.9002,0,66.667,NA,"Deaths",0
"277",2020-03-11,"Mississippi",32.7416,-89.6787,NA,NA,NA,"Deaths",0
"278",2020-03-11,"Missouri",38.4561,-92.2884,0,0,NA,"Deaths",0
"279",2020-03-11,"Montana",46.9219,-110.4544,0,Inf,NA,"Deaths",0
"280",2020-03-11,"Nebraska",41.1254,-98.2681,0,66.667,NA,"Deaths",0
"281",2020-03-11,"Nevada",38.3135,-117.0554,0,75,NA,"Deaths",0
"282",2020-03-11,"New Hampshire",43.4525,-71.5639,0,25,NA,"Deaths",0
"283",2020-03-11,"New Mexico",34.8405,-106.2485,0,Inf,NA,"Deaths",0
"284",2020-03-11,"New York",42.1657,-74.9481,0,27.168,NA,"Deaths",0
"285",2020-03-11,"North Carolina",35.6301,-79.8064,0,0,NA,"Deaths",0
"286",2020-03-11,"North Dakota",47.5289,-99.784,NA,NA,NA,"Deaths",0
"287",2020-03-11,"Ohio",40.3888,-82.7649,0,33.333,NA,"Deaths",0
"288",2020-03-11,"Oklahoma",35.5653,-96.9289,0,0,NA,"Deaths",0
"289",2020-03-11,"Oregon",44.572,-122.0709,0,26.667,NA,"Deaths",0
"290",2020-03-11,"Pennsylvania",40.5908,-77.2098,0,33.333,NA,"Deaths",0
"291",2020-03-11,"Rhode Island",41.6809,-71.5118,0,66.667,NA,"Deaths",0
"292",2020-03-11,"South Carolina",33.8569,-80.945,0,42.857,NA,"Deaths",0
"293",2020-03-11,"Tennessee",35.7478,-86.6923,0,28.571,NA,"Deaths",0
"294",2020-03-11,"Texas",31.0545,-97.5635,0,61.538,NA,"Deaths",0
"295",2020-03-11,"Utah",40.15,-111.8624,0,50,NA,"Deaths",0
"296",2020-03-11,"Vermont",44.0459,-72.7107,0,0,NA,"Deaths",0
"297",2020-03-11,"Virginia",37.7693,-78.17,0,28.571,NA,"Deaths",0
"298",2020-03-11,"West Virginia",38.4912,-80.9545,NA,NA,NA,"Deaths",0
"299",2020-03-11,"Wisconsin",44.2685,-89.6165,0,100,NA,"Deaths",0
"300",2020-03-11,"Wyoming",42.756,-107.3025,NA,NA,NA,"Deaths",0
"301",2020-03-12,"Washington",47.4009,-121.4905,0.07,20.765,6.897,"Confirmed Cases",442
"302",2020-03-12,"New York",42.1657,-74.9481,0,49.091,NA,"Confirmed Cases",328
"303",2020-03-12,"California",36.1162,-119.6816,0.018,24.859,33.333,"Confirmed Cases",221
"304",2020-03-12,"Massachusetts",42.2302,-71.5301,0,13.684,NA,"Confirmed Cases",108
"305",2020-03-12,"Colorado",39.0598,-105.3111,0,32.353,NA,"Confirmed Cases",45
"306",2020-03-12,"Florida",27.7663,-81.6868,0.057,25,0,"Confirmed Cases",35
"307",2020-03-12,"Illinois",40.3495,-88.9861,0,28,NA,"Confirmed Cases",32
"308",2020-03-12,"Georgia",33.0406,-83.6431,0.032,34.783,Inf,"Confirmed Cases",31
"309",2020-03-12,"Washington",47.4009,-121.4905,0.07,20.765,6.897,"Deaths",31
"310",2020-03-12,"New Jersey",40.2989,-74.521,0.034,26.087,0,"Confirmed Cases",29
"311",2020-03-12,"Texas",31.0545,-97.5635,0,28.571,NA,"Confirmed Cases",27
"312",2020-03-12,"Oregon",44.572,-122.0709,0,26.316,NA,"Confirmed Cases",24
"313",2020-03-12,"Pennsylvania",40.5908,-77.2098,0,37.5,NA,"Confirmed Cases",22
"314",2020-03-12,"Louisiana",31.1695,-91.8678,0,216.667,NA,"Confirmed Cases",19
